,RMSE
"(5, 1, 6)",0.04333247220730575
"(5, 1, 7)",0.043330007828237545
"(5, 2, 0)",1.434680135669635
"(5, 2, 1)",0.3017404681189109
"(5, 2, 2)",0.6416623338851669
"(5, 2, 3)",0.041314016157366774
"(5, 2, 4)",0.04284466316729045
"(5, 2, 5)",0.04257090293983783
"(5, 2, 6)",0.04367414565100108
"(5, 2, 7)",0.043685119159724325
"(6, 0, 0)",0.05244783034579191
"(6, 0, 1)",0.052579201084554904
"(6, 0, 2)",0.05261061911972015
"(6, 0, 3)",0.04977434655983762
"(6, 0, 4)",0.052518794241556345
"(6, 0, 5)",0.052367045818208155
"(6, 0, 6)",0.05058148977828052
"(6, 0, 7)",0.04665936624920892
"(6, 1, 0)",0.0435342029156234
"(6, 1, 1)",0.043575768822846174
"(6, 1, 2)",0.04355628264942717
"(6, 1, 3)",0.04357006988583468
"(6, 1, 4)",0.04361754124204066
"(6, 1, 5)",0.04357894240607874
"(6, 1, 6)",0.04327078692796678
"(6, 1, 7)",0.04328331059550642
"(6, 2, 0)",1.3284639105556528
"(6, 2, 1)",0.15524425846479337
"(6, 2, 2)",0.04159297341040956
"(6, 2, 3)",0.12512254131737846
"(6, 2, 4)",0.1894133431757515
"(6, 2, 5)",0.041898690048605074
"(6, 2, 6)",0.04061798291107844
"(6, 2, 7)",0.043135346992393846
"(7, 0, 0)",0.05270914790562152
"(7, 0, 1)",0.05277901747682781
"(7, 0, 2)",0.0530240858930362
"(7, 0, 3)",0.0520942987303613
"(7, 0, 4)",0.05314669998604512
"(7, 0, 5)",0.05115551610700388
"(7, 0, 6)",0.05332365334795805
"(7, 0, 7)",0.054747159504816394
"(7, 1, 0)",0.04321964699518451
"(7, 1, 1)",0.043291022614953344
"(7, 1, 2)",0.04328156385612592
"(7, 1, 3)",0.043414224796331814
"(7, 1, 4)",0.04329251187199288
"(7, 1, 5)",0.04330471454217303
"(7, 1, 6)",0.04315267763792781
"(7, 1, 7)",0.04264335479335539
"(7, 2, 0)",1.2368961027098764
"(7, 2, 1)",0.8871550650869643
"(7, 2, 2)",0.04202153816666008
"(7, 2, 3)",0.5483682868024996
"(7, 2, 4)",0.04542850603048733
"(7, 2, 5)",0.04177497810975421
"(7, 2, 6)",0.04304714991735139
"(7, 2, 7)",0.04991429132774519
